controller,repeat,leg,start_x,start_y,goal_x,goal_y,reached,ticks,time_to_goal,cte_mean,cte_max,cte_rms,driven_len,planned_len,len_ratio,dw_rms,dv_rms,effort,mean_abs_w,mean_v,min_clearance,compute_ms_mean,compute_ms_max
pursuit,0,0,-9.1,-14.1,-2.05,-5.55,1,1178,58.85,0.020369477436134893,0.08039028042060181,0.026533926124009323,20.038515762658115,20.98528168694363,0.9548842880258042,0.03270646467503855,0.018633568568249333,0.20201393715308008,0.2161364556735086,0.33611914586848685,0.4000000059604645,0.059930178370300666,1.100155001040548
pursuit,0,1,-1.85,-5.67,-5.95,-13.55,1,854,42.64999999999999,0.021529716851716233,0.12181919071682511,0.030633383267730484,14.9077061989611,15.291169052399313,0.9749225940721619,0.03979959372556695,0.021181312994757437,0.2669794250274078,0.22873622948628256,0.34672669506674375,0.4000000059604645,0.05003689705196275,0.45351100561674684
pursuit,0,2,-5.832,-13.333,-0.95,-6.15,1,783,39.10000000000002,0.024578935019015057,0.13160657548934593,0.03553585032110794,13.784113349470578,14.142640897861053,0.9746491796702058,0.04277442280408268,0.01801756592046196,0.2808243101325191,0.23365296516652734,0.34729512076455815,0.30000000447034836,0.046105076219008743,0.37238899676594883
pursuit,0,3,-0.932,-6.396,-5.95,-13.65,1,775,38.70000000000002,0.02035635923836011,0.1007051383948312,0.02708776400121695,13.729410494758435,14.201219542496634,0.9667768640343649,0.040551287720578956,0.019715790233160755,0.2808137195972066,0.22617486453633298,0.3518136305425873,0.4000000059604645,0.04647216658228107,0.10184501297771931
pursuit,0,4,-5.867,-13.431,-1.25,-6.05,1,788,39.35000000000002,0.022193784321610954,0.09783086557402229,0.03040029909572118,14.01102460833929,14.384062257695822,0.9740659041463098,0.0417618782702845,0.019341581923579078,0.26984358582260803,0.22753944121504116,0.34842529981984527,0.4000000059604645,0.045865769002398686,0.16385200433433056
pursuit,0,5,-1.111,-6.231,4.25,-1.25,1,616,30.75,0.020637575243324862,0.06276258393110068,0.02506732579077014,11.12687533491028,11.67695543617024,0.9528918214797628,0.01968533125409975,0.015304890727255155,0.1799905536143321,0.178209277483188,0.35662088970176126,0.4000000059604645,0.04576037690049497,0.08804000390227884
pursuit,0,6,4.266,-1.499,7.55,1.95,1,1165,58.19999999999999,0.02329056967320773,0.1303063244353151,0.033584436208001396,21.443390945769412,21.64974779091221,0.9904683949607294,0.018212290310883596,0.01308583774510136,0.18860509298200287,0.1680427419213593,0.3647074373642001,0.4000000059604645,0.04542412968550293,0.12997500016354024
pursuit,0,7,7.673,2.165,3.95,-7.55,1,1142,57.05000000000001,0.021993496232354057,0.10047758789441702,0.027853371782972525,20.339164533541826,21.222539990682105,0.9583756017174132,0.05626950504991447,0.01504936087943678,0.23670046240011874,0.2090526869653849,0.35081416969499934,0.4000000059604645,0.0601134972939196,0.16076599422376603
pursuit,0,8,3.944,-7.79,4.35,3.55,1,1495,74.69999999999999,0.020548147555508694,0.11175780653286083,0.027550861737793614,25.825535068554437,26.599495332975028,0.9709031974203991,0.050762316989317956,0.012621626434842305,0.23054889389774078,0.21826037954619856,0.3412332899972356,0.4000000059604645,0.06986021629361791,0.14544400619342923
pursuit,0,9,4.231,3.339,7.65,9.25,1,915,45.69999999999999,0.019932053069590717,0.0617419144988921,0.024378924359593362,15.205584591784753,15.86396126707037,0.9584985953885148,0.016842891344934864,0.013915145535403874,0.16969547335779797,0.21970221458152187,0.3236917802473508,0.4000000059604645,0.057169208904254996,0.2758899936452508
pursuit,0,10,7.894,9.279,2.75,6.35,1,1145,57.200000000000045,0.023871118387465706,0.099105223855648,0.031177424979805336,17.858519194724916,18.952186412479364,0.9422933484321204,0.05801217651023021,0.01457616725928431,0.187651143306055,0.24738848352887968,0.30794074156117573,0.4000000059604645,0.07545001035674137,0.16765500186011195
pursuit,0,11,2.609,6.552,5.85,11.15,1,966,48.25,0.02309060451358348,0.13661430670220068,0.029524777699098614,14.754127266570375,15.889444667044005,0.9285489566020914,0.06470461697422905,0.016723561195994403,0.2305082578311552,0.27678641227609563,0.29927480392653544,0.30000000447034836,0.07531230723136828,0.3141810011584312
pursuit,0,12,5.841,11.391,0.75,-1.25,1,1760,87.95000000000005,0.025435864314575084,0.16156777799621658,0.03444083690641622,27.34333562140275,28.836248603119962,0.9482279057076903,0.04743171739077871,0.014845586827677861,0.20747146908028916,0.25851352449025533,0.3061433218633633,0.4000000059604645,0.1010337908403678,0.3118820022791624
pursuit,0,13,0.761,-1.487,3.85,7.85,1,906,45.25,0.02642317187913629,0.11046417684479684,0.03377629939522258,14.158125822397002,15.002438885317709,0.9437216129074185,0.06338577594344488,0.018203447985557963,0.24415908472689615,0.26995010384072915,0.30839302252464296,0.4000000059604645,0.06486584876882937,0.25763399025890976
pursuit,0,14,3.669,7.699,-2.75,-1.05,1,1233,61.60000000000002,0.027736204749682452,0.15601998527586053,0.03664266623897172,19.216658251167082,20.09655151092133,0.956216704180512,0.055847096636280076,0.018065297784379326,0.23111613448457477,0.270092376253914,0.30412074619881524,0.4000000059604645,0.08554118957107287,0.5954239895800129
pursuit,0,15,-2.66,-1.275,1.05,11.35,1,1588,79.34699999999998,0.026706998514098527,0.15918232934952625,0.03527998433921231,24.291591977127652,25.51492821006879,0.952054098570484,0.04914665786006171,0.013485784219746234,0.21439315910664775,0.2698605664719521,0.2997421462422258,0.4000000059604645,0.09597167626903885,0.1987349969567731
pursuit,0,16,1.17,11.134,2.75,1.05,1,873,43.60000000000002,0.023982632964037572,0.0819043691464536,0.029729883260997375,13.825196234508024,14.575231085087601,0.948540448779096,0.0640003501647518,0.020319459990156132,0.2505823450489486,0.27065804664108767,0.3095271136459737,0.4000000059604645,0.06976227619005676,0.2600720035843551
pursuit,0,17,2.659,1.274,8.35,12.45,1,1573,78.59999999999991,0.023906922195546833,0.08307005879856771,0.029999068349447093,25.045157936144502,26.266400083842736,0.953505537728809,0.04899945622609669,0.014853928282602897,0.22240128452423852,0.2558067946937705,0.3120243437483373,0.4000000059604645,0.09928326652104358,0.6820309936301783
pursuit,0,18,8.58,12.522,0.95,3.55,1,1385,69.20000000000005,0.031645444250691886,0.12048971113980339,0.038783757297957105,21.833537668206493,22.845079689301446,0.9557216680855498,0.053251796431298244,0.015472123182551808,0.2162057152083819,0.25502739988669115,0.31092392846609834,0.4000000059604645,0.08615436381660402,0.2585709880804643
