controller,repeat,leg,start_x,start_y,goal_x,goal_y,reached,ticks,time_to_goal,cte_mean,cte_max,cte_rms,driven_len,planned_len,len_ratio,dw_rms,dv_rms,effort,mean_abs_w,mean_v,min_clearance,compute_ms_mean,compute_ms_max
mpc,0,0,-9.1,-14.1,-2.05,-5.55,1,850,42.45,0.02212154421682132,0.06949524019780995,0.027575345783422193,20.087751218987993,20.98528168694363,0.9572304779442607,0.03945587507043289,0.016486574103578466,0.4032998865259643,0.3063968190408585,0.46695431828572737,0.4000000059604645,22.63503746043811,32.94444500352256
mpc,0,1,-1.893,-5.718,-5.95,-13.55,1,647,32.300000000000004,0.0264143392078723,0.26551283703988143,0.048516406748292634,15.140993847259029,15.349747697034895,0.9864001771301955,0.04123912121410721,0.02180368522030272,0.4415711820171041,0.31172595489042143,0.4285439680902592,0.30000000447034836,23.844851720411512,141.7790739942575
mpc,0,2,-5.806,-13.353,-0.95,-6.15,1,591,29.5,0.03278328737734198,0.357507932268027,0.07174406581281172,13.972723845729302,14.142640897861053,0.9879854792779579,0.043307457420635645,0.020750981016452175,0.4594811622096954,0.3148306114934716,0.41527316857196467,0.10000000149011612,23.81617109151498,41.517010002280585
mpc,0,3,-0.948,-6.384,-5.95,-13.65,1,598,29.849999999999994,0.02980571738803086,0.2962560490260113,0.05856912047805976,14.042561949816927,14.201219542496634,0.9888278895904024,0.04164824185682578,0.022226097548762695,0.43390514788948387,0.306416687947524,0.44462294370540356,0.20000000298023224,24.51566707360481,145.60396499291528
mpc,0,4,-5.819,-13.449,-1.25,-6.05,1,609,30.400000000000006,0.024750669143429233,0.19572382989894876,0.0378279761430784,14.37913528354571,14.384062257695822,0.9996574699092757,0.04181654326919082,0.021867472619949663,0.4400450821962429,0.3094545195979751,0.4262543249652777,0.4000000059604645,23.87199845635359,35.01406899886206
mpc,0,5,-1.08,-6.215,4.25,-1.25,1,461,23.0,0.01450146764816611,0.05253384320414689,0.017677054196387355,11.095997186955259,11.776955437660357,0.9421787528780546,0.039788662900651015,0.02554441766786724,0.3412208544438539,0.250761285256744,0.4799825645641864,0.4000000059604645,22.983464473218824,33.68364300695248
mpc,0,6,4.252,-1.478,7.55,1.95,1,883,44.099999999999994,0.019204717614442,0.09782010472524502,0.026193616962175287,21.263386173247063,21.64974779091221,0.9821539899034147,0.03353078259748858,0.01758866963644953,0.36092975710540653,0.22591484393269295,0.48449853159222966,0.4000000059604645,24.600201364458165,129.44931999663822
mpc,0,7,7.72,2.116,3.95,-7.55,1,872,43.54999999999998,0.018814778945424104,0.1574114259150038,0.030870541185148752,20.61738925668686,21.12253998919199,0.9760847543541825,0.04166903439618142,0.018863603342586726,0.40283754669180616,0.2681507546205644,0.43550627276743703,0.4000000059604645,24.613089632912974,146.48439399024937
mpc,0,8,3.898,-7.794,4.35,3.55,1,1097,54.80000000000001,0.019667063560541924,0.09157649801836668,0.02665265519237661,26.059609097898477,26.640916689829563,0.9781798952829199,0.050252148894453195,0.017413193538581083,0.42262759254519944,0.3027299638728191,0.4634543249579235,0.4000000059604645,23.53060597936895,128.75605399312917
mpc,0,9,4.24,3.328,7.65,9.25,1,623,31.099999999999966,0.01914299100880593,0.07854461454725126,0.025242450108162576,15.109835879594774,15.86396126707037,0.952462983565084,0.045055249299966384,0.023745176729029552,0.3909621152688107,0.3228730336408895,0.478826087946781,0.4000000059604645,22.875326491130313,39.202875006594695
mpc,0,10,7.888,9.307,2.75,6.35,1,796,39.75,0.03460352637776738,0.2675221900654808,0.05696336444862053,18.284383269469757,18.852186410989248,0.9698813108919553,0.04848769742100857,0.025695505276278504,0.5776524729018995,0.4584367852201305,0.41558322182825036,0.20000000298023224,20.78146333012077,127.91336799273267
mpc,0,11,2.612,6.545,5.85,11.15,1,663,33.10000000000002,0.026838981232168147,0.1198910570101609,0.036381625265731715,15.068026183081418,15.889444667044005,0.9483041414489284,0.06637107737511307,0.023905993635872196,0.49386239717129526,0.4075710790505886,0.440504087691253,0.4000000059604645,20.65311624767922,33.90655199473258
mpc,0,12,5.853,11.398,0.75,-1.25,1,1192,59.55000000000001,0.025746235494334597,0.18167509235928847,0.035457111261988604,27.786741368088215,28.836248603119962,0.9636045849972942,0.05089986215386222,0.020819200357383053,0.46553011707670766,0.4041036306242251,0.45086650856876626,0.4000000059604645,21.305761238267188,135.76934600132518
mpc,0,13,0.75,-1.488,3.85,7.85,1,627,31.299999999999955,0.026864357133697548,0.18470230218305517,0.038390944141883904,14.529496894949572,15.002438885317709,0.968475659592189,0.061769276748091545,0.02381272267205235,0.5051365715586716,0.40836741033191404,0.4421751488222204,0.4000000059604645,21.341266538022253,32.35912599484436
mpc,0,14,3.678,7.673,-2.75,-1.05,1,831,41.5,0.03037407796124597,0.25115134955892454,0.04745382820627098,19.37106199175537,20.09655151092133,0.9638998004821027,0.045321534628411826,0.02255822490068965,0.4928568774371383,0.4054784435743382,0.4258857734214365,0.30000000447034836,21.2363083475802,48.381799992057495
mpc,0,15,-2.657,-1.265,1.05,11.35,1,1044,52.15000000000009,0.026596511327230003,0.2408316177847598,0.04136155697815781,24.564067124615466,25.51492821006879,0.9627331467435566,0.047875767552522965,0.02166152096341925,0.4905804602895796,0.4080359538201152,0.4324012482030386,0.30000000447034836,21.603214917533855,42.03486400365364
mpc,0,16,1.134,11.131,2.75,1.05,1,617,30.799999999999955,0.027550618618523138,0.23846340189323156,0.04563658813897417,14.054331242589948,14.575231085087601,0.9642612978513525,0.06324274808760569,0.025626686717793657,0.4987723897214251,0.40724890639436445,0.4375359157546632,0.4000000059604645,20.823300849444255,34.33646299527027
mpc,0,17,2.655,1.273,8.35,12.45,1,1084,54.14999999999998,0.02518451699508535,0.15400085620892065,0.036196697174446714,25.211457918181004,26.266400083842736,0.9598368195757949,0.0459603955950769,0.02038212694830438,0.4727501729936378,0.38780407667435773,0.4327577866060297,0.30000000447034836,21.596048248992336,125.77915399742778
mpc,0,18,8.574,12.531,0.95,3.55,1,958,47.85000000000002,0.02506568444216687,0.16389668804554497,0.03421328254976532,22.075987079876743,22.845079689301446,0.9663344308759458,0.057918921398468014,0.02233496360089154,0.46366974442901343,0.38799265133861366,0.45045398256028113,0.4000000059604645,22.201806897664977,142.11760599573608
mpc,0,19,1.094,3.744,-6.05,5.35,1,935,46.69999999999993,0.02030199496669462,0.09716662240161654,0.025898775406737663,22.397790982875133,23.540916643635963,0.9514409027453966,0.03834278445431925,0.02188690749542889,0.387728723623798,0.30713936492026583,0.47530041444462073,0.4000000059604645,22.65144505125301,147.22078200429678
mpc,0,20,-5.885,5.169,-0.55,13.85,1,844,42.149,0.01938359437379725,0.09308205235868088,0.024539234146875415,20.029086302990436,21.24507966545959,0.942763530115346,0.03936120152413804,0.020234181507876182,0.4217933738889626,0.3608116764484025,0.47252999128735895,0.4000000059604645,21.761130359250295,38.422262005042285
mpc,0,21,-0.694,13.647,-7.95,8.85,1,672,33.55000000000007,0.02611511478717986,0.20483238883790184,0.03987874734383516,15.724989381835128,16.19949517800295,0.970708605980997,0.050563811091502986,0.02409119972811026,0.5364487676530192,0.4480049174664716,0.43885941866330436,0.4000000059604645,21.98263508524265,69.089544005692
mpc,0,22,-8.133,9.011,-0.75,-1.45,1,681,34.0,0.018857737282332372,0.060319112631997795,0.022795028643366702,16.452014489108905,17.263961287931995,0.9529686851539302,0.033103210733307964,0.021954476927734584,0.3422870884033714,0.2560206652144469,0.47881507821180364,0.4000000059604645,22.90523235526971,35.351243990589865
mpc,0,23,-0.866,-1.657,-8.85,9.45,1,747,37.299999999999955,0.022788461810588644,0.16968022432744032,0.0342007201860864,17.520139669784015,17.888225365946184,0.9794230177319382,0.042142027750718965,0.021513617634416702,0.430314291544048,0.3149665950390412,0.4319246719823287,0.4000000059604645,23.710700865691418,136.04964799014851
mpc,0,24,-8.659,9.311,-2.35,12.25,1,506,25.25,0.019579017241478664,0.06337412504535002,0.024582184696456347,12.189678788095339,12.978174786441894,0.9392444614653915,0.05201246996647971,0.025512306921154092,0.4857408893350241,0.4092780641860249,0.471747379248008,0.4000000059604645,22.274950557453245,32.97305900196079
mpc,0,25,-2.29,12.02,-7.65,8.95,1,588,29.350000000000023,0.021354229054907088,0.1097115845003529,0.02891481612022672,13.446870396009833,14.043860227271082,0.9574910443709783,0.07492114116848056,0.023002927916636603,0.5465989276186546,0.44766988175655564,0.4434444009476579,0.4000000059604645,22.189068576580564,131.236914996407
mpc,0,26,-7.883,8.939,1.25,2.55,1,1085,54.19999999999993,0.0189114955856692,0.08582251401577956,0.024890172127565766,25.74171723622855,26.955130256884807,0.9549839674639921,0.041388123242702426,0.017770313615287598,0.3853386536319329,0.3141107616917516,0.470035257900059,0.4000000059604645,22.713934459019676,72.7421530027641
mpc,0,27,1.487,2.567,-8.75,9.35,1,1145,57.200000000000045,0.023919699306900587,0.1616995297919228,0.03231127832852115,26.865922525981546,27.67939433638911,0.9706109244833395,0.04929375340691079,0.0201055657132369,0.4293928211485921,0.3401648088247153,0.45856852086223415,0.4000000059604645,22.769906675032804,144.02134099509567
mpc,0,28,-8.556,9.2,-3.75,3.95,1,1100,54.94999999999982,0.02094914604024867,0.07363507181599172,0.025710506596055154,26.422284280001204,27.710765186755047,0.9535025143452299,0.041599647831992374,0.01998870655677118,0.43921088573376615,0.34978984656786455,0.4751134803799263,0.4000000059604645,22.845351588012736,33.724834996974096
mpc,0,29,-3.547,4.085,-0.65,13.75,1,630,31.449999999999818,0.024551040505220608,0.1707232289754107,0.03659342222141495,14.713221478557589,15.00832633571001,0.9803372574295467,0.06572765368254967,0.022772855807038975,0.4374707536568511,0.31112353639743023,0.4548146410209584,0.4000000059604645,23.6099091973359,34.497230997658335
mpc,1,0,-0.816,13.579,-2.05,-5.55,0,3001,150.0,0.02537786314672771,0.32451023828784054,0.03959048156954675,71.65181091760505,119.06438121308706,0.6017904782906592,0.03897227832286806,0.01653604806943746,0.4202602442767808,0.348088643181472,0.46155713689772254,0.20000000298023224,22.494663902322063,122.06624000100419
