controller,repeat,leg,start_x,start_y,goal_x,goal_y,reached,ticks,time_to_goal,cte_mean,cte_max,cte_rms,driven_len,planned_len,len_ratio,dw_rms,dv_rms,effort,mean_abs_w,mean_v,min_clearance,compute_ms_mean,compute_ms_max
mppi,0,0,-9.1,-14.1,-2.05,-5.55,1,933,46.60000000000001,0.031394659248523304,0.12108298484510271,0.03960520858631457,19.82414871269358,20.98528168694363,0.944669173777521,0.26619262431960544,0.019019823805842554,0.3778592562327672,0.3466832192801916,0.42423639441100686,0.4000000059604645,3.6805075580302162,11.005543012288399
mppi,0,1,-1.862,-5.708,-5.95,-13.55,1,712,35.55,0.03978642785607394,0.25114932877696655,0.058119444342420896,14.864220859954932,15.249747695544778,0.9747191335039281,0.28469319344177096,0.02289479728292625,0.4041286783128186,0.3391529428918084,0.4129070186153272,0.20000000298023224,3.726651992907504,5.125725001562387
mppi,0,2,-5.836,-13.328,-0.95,-6.15,1,664,33.150000000000006,0.026507044709951404,0.1288773686947522,0.0357572526379314,13.655276813380238,14.142640897861053,0.965539386314014,0.2827148756146054,0.01850105473084541,0.42333660224120045,0.3587878502161753,0.4087150146877382,0.4000000059604645,3.599792512311496,4.922899999655783
mppi,0,3,-0.982,-6.392,-5.95,-13.65,1,670,33.45000000000002,0.037398653977402614,0.15706209663578014,0.047726530483275055,13.684309082915568,14.201219542496634,0.9636009810260147,0.29138191517391826,0.02451918231599099,0.42417892864905143,0.3524006879545911,0.4052624916408473,0.30000000447034836,3.7083026118804145,5.321040996932425
mppi,0,4,-5.828,-13.433,-1.25,-6.05,1,682,34.05000000000001,0.02638423579134088,0.12893738034267432,0.034066264241495385,13.903789512048554,14.384062257695822,0.9666107712103158,0.30248920831748205,0.017108148959772113,0.42400699973493466,0.360162244002784,0.40812212185120794,0.4000000059604645,3.5567149984472106,4.847846998018213
mppi,0,5,-1.101,-6.239,4.25,-1.25,1,510,25.44999999999999,0.026060193014665216,0.10568627744370929,0.03347433498130268,11.060090727216242,11.67695543617024,0.9471724703989864,0.3188047145112023,0.03202015677880526,0.3277769553286161,0.3014182619668124,0.4302785801707876,0.4000000059604645,3.5661204978561156,4.825854004593566
mppi,0,6,4.257,-1.487,7.55,1.95,1,965,48.19999999999999,0.023889978535894196,0.11686161775838791,0.03320144927731578,20.91523202084256,21.64974779091221,0.9660727793615235,0.2828758848823833,0.01694967558536049,0.3236700158191155,0.2781136345413115,0.4320293585946352,0.4000000059604645,3.5735389131629223,5.403811010182835
mppi,0,7,7.73,2.11,3.95,-7.55,1,968,48.35000000000002,0.031306383974305005,0.19024615048560634,0.043619630063968996,20.26539857974476,21.12253998919199,0.9594205332367315,0.28416228844854285,0.017247404143590935,0.4004225323269208,0.33888081713156026,0.4170753161785179,0.30000000447034836,3.6408165599650526,5.122299000504427
mppi,0,8,3.95,-7.791,4.35,3.55,1,1209,60.400000000000034,0.030997348109126088,0.2209508598447183,0.04215862460719456,25.55827396378037,26.599495332975028,0.9608555968389418,0.2851460015651776,0.015360179639155539,0.3868585493499018,0.33768085365217787,0.41970396024891116,0.4000000059604645,3.6291317882033054,4.910824995022267
mppi,0,9,4.27,3.32,7.65,9.25,1,683,34.099999999999966,0.028790241003466114,0.08986987426177265,0.0354412684536279,14.927788696851978,15.86396126707037,0.9409874649554489,0.25578309106816777,0.018917863575892105,0.35154735575568397,0.33079492920227466,0.4289221792601417,0.4000000059604645,3.611903247302623,5.3504570096265525
mppi,0,10,7.89,9.287,2.75,6.35,1,830,41.44999999999999,0.03540664954886872,0.16411515634215643,0.045794877706916655,17.58617637293845,18.952186412479364,0.9279233535481983,0.2391874026559926,0.024125517490136198,0.39757820004269456,0.37517891386776997,0.419625204034139,0.4000000059604645,3.6505905192672183,5.228426001849584
mppi,0,11,2.672,6.578,5.85,11.15,1,709,35.400000000000034,0.04177557315133191,0.20651981780414383,0.05457534674236541,14.490662169921622,15.889444667044005,0.9119678172250053,0.23771227903262457,0.017518854161588663,0.4440597550018305,0.40085237544030194,0.4013952144355256,0.30000000447034836,3.585228796666409,5.062855008873157
mppi,0,12,5.828,11.391,0.75,-1.25,1,1278,63.85000000000008,0.03810576738284355,0.18679925599041525,0.04731163884897874,26.680588528674292,28.836248603119962,0.925244781174052,0.2324071665153908,0.01737306815641492,0.4080350859403103,0.38473657214485774,0.4130444207697268,0.4000000059604645,3.6016408998541225,4.873839992797002
mppi,0,13,0.773,-1.485,3.85,7.85,1,676,33.75,0.04476376383767588,0.1849956816377425,0.05518514161117501,13.854744844194448,15.002438885317709,0.9234995023211551,0.26683377644885237,0.01900783260248266,0.44464826498170146,0.3987026469028235,0.4022018406622964,0.30000000447034836,3.5878353004451267,4.813665000256151
